Participant Table
Participant,Age,Sex,FBInfo
447d9d6559a5163e5297,30,0,N/A


Single-Player Game Level
Participant,GameNum,PlayerNum,Difficulty,RoundDuration,Hits,Confidence,Assets,AI_Assets,TotalTime,TargetLocations,Choices,TargetClear,TargetPossible,TargetConfirm
447d9d6559a5163e5297,2121,1,10,990,0,-1,,,-2,8;14;16;20,,,,
447d9d6559a5163e5297,2122,1,10,990,0,-1,,,-2,10;13;16;19,,,,
447d9d6559a5163e5297,2123,1,10,990,0,-1,,,-2,2;3;6;21,,,,
447d9d6559a5163e5297,2124,1,10,990,0,-1,,,-2,6;13;18;22,,,,
447d9d6559a5163e5297,2125,1,10,990,0,-1,,,-2,0;4;9;15,,,,
447d9d6559a5163e5297,2126,1,10,990,0,-1,,,-2,0;13;14;22,,,,
447d9d6559a5163e5297,2127,1,10,990,0,-1,,,-2,3;6;18;21,,,,
447d9d6559a5163e5297,2128,1,10,990,0,-1,,,-171,0;7;15;18,,,,
447d9d6559a5163e5297,2129,1,10,990,0,-1,,,-19,0;10;15;23,,,,
447d9d6559a5163e5297,2130,1,10,990,0,-1,,,-2,6;7;18;23,,,,
447d9d6559a5163e5297,2131,1,10,990,0,-1,,,-2,0;5;14;15,,,,
447d9d6559a5163e5297,2132,1,10,990,0,-1,,,-2,3;4;7;22,,,,
447d9d6559a5163e5297,2133,1,10,990,0,-1,,,-2,5;12;14;23,,,,
447d9d6559a5163e5297,2134,1,10,990,0,-1,,,-2,11;18;21;23,,,,
447d9d6559a5163e5297,2135,1,10,990,0,-1,,,-2,1;3;6;11,,,,
447d9d6559a5163e5297,2136,1,10,990,0,-1,,,-2,13;18;19;22,,,,
447d9d6559a5163e5297,2137,1,10,990,0,-1,,,-2,5;17;18;20,,,,
447d9d6559a5163e5297,2138,1,10,990,0,-1,,,-2,0;7;19;21,,,,
447d9d6559a5163e5297,2139,1,10,990,0,-1,,,-2,2;14;15;16,,,,
447d9d6559a5163e5297,2140,1,10,990,0,-1,,,-2,2;7;16;21,,,,
447d9d6559a5163e5297,2141,1,10,990,0,-1,,,-2,5;6;9;23,,,,
447d9d6559a5163e5297,2142,1,10,990,0,-1,,,-2,0;4;22;24,,,,
447d9d6559a5163e5297,2143,1,10,990,0,-1,,,-2,1;17;20;23,,,,
447d9d6559a5163e5297,2144,1,10,990,0,-1,,,-2,7;17;20;21,,,,
447d9d6559a5163e5297,2145,1,10,990,0,4,1;2;5;6,0;3;4,-2,3;7;9;10,,,,
447d9d6559a5163e5297,2146,1,10,990,0,4,0;3;4,1;2;5;6,-2,3;6;17;21,,,,
447d9d6559a5163e5297,2147,1,10,990,0,-1,,,-2,7;8;18;23,,,,
447d9d6559a5163e5297,2148,1,10,990,0,-1,,,-2,6;7;16;17,,,,
447d9d6559a5163e5297,2149,1,10,990,0,-1,,,-2,10;16;20;21,,,,
447d9d6559a5163e5297,2150,1,10,990,0,2,0;3;4,1;2;5;6,-2,3;10;12;15,,,,
447d9d6559a5163e5297,2151,1,10,990,0,4,1;2;5;6,0;3;4,-2,3;4;20;21,,,,
447d9d6559a5163e5297,2156,1,10,990,0,-1,,,-1,0;14;16;22,,,,
447d9d6559a5163e5297,2195,1,10,990,0,-1,,,-1,6;9;14;24,,,,
447d9d6559a5163e5297,2196,1,10,990,0,-1,,,-2,9;17;20;23,,,,
447d9d6559a5163e5297,2197,1,10,990,0,-1,,,-1,8;9;17;23,,,,
447d9d6559a5163e5297,2198,1,10,990,0,-1,,,-1,17;21;22;23,,,,
447d9d6559a5163e5297,2199,1,10,990,0,-1,,,-1,6;7;18;23,,,,
447d9d6559a5163e5297,2200,1,10,990,0,-1,1;2;5;6,0;3;4,-1,9;12;14;24,,,,
447d9d6559a5163e5297,2201,1,10,990,0,-1,,,-2,0;3;14;24,,,,
447d9d6559a5163e5297,2205,1,10,990,2,4,1;2;5;6,0;3;4,80,6;11;20;24,2;6;15;24,,,
447d9d6559a5163e5297,2206,1,10,990,0,-1,,,-2,10;15;18;19,,,,
447d9d6559a5163e5297,2207,1,10,990,0,-1,,,-1,11;12;18;21,,,,
447d9d6559a5163e5297,2208,1,10,9990,0,-1,,,-2,6;9;15;24,,,,
447d9d6559a5163e5297,2209,1,10,9990,0,-1,,,-383,1;3;6;11,,,,
