pydev debugger: starting (pid: 6680)
Participant Table
Participant,Age,Sex,FBInfo
38c7e15c0fd005bcac92,15237,2,4,39,,,
38c7e15c0fd005bcac92,15237,2,5,130,,,
18c422a5a49475d6e588,15237,3,1,90,,,
18c422a5a49475d6e588,15237,3,2,141,1;6;16;21;11;1,11,
18c422a5a49475d6e588,15237,3,3,24,15;5,,16
18c422a5a49475d6e588,15237,3,4,89,,17;18;19,
18c422a5a49475d6e588,15237,3,5,151,4,,0;17;6
f993485cdcad266475f7,15237,4,1,25,,,
f993485cdcad266475f7,15237,4,2,116,,,
f993485cdcad266475f7,15237,4,3,165,,,
f993485cdcad266475f7,15237,4,4,144,,,
f993485cdcad266475f7,15237,4,5,45,,,
fb5fe58a0f24db0236ee,15238,1,1,15,,,
fb5fe58a0f24db0236ee,15238,1,2,100,,9,19
fb5fe58a0f24db0236ee,15238,1,3,89,,,
fb5fe58a0f24db0236ee,15238,1,4,9,,,
fb5fe58a0f24db0236ee,15238,1,5,37,,,
2bf9298a0e255a9f6a23,15238,2,1,51,,,
2bf9298a0e255a9f6a23,15238,2,2,46,7,,19;7
2bf9298a0e255a9f6a23,15238,2,3,93,,,
2bf9298a0e255a9f6a23,15238,2,4,39,,,4
2bf9298a0e255a9f6a23,15238,2,5,6,,,
f993485cdcad266475f7,15238,3,1,16,,,
f993485cdcad266475f7,15238,3,2,140,19,,16
f993485cdcad266475f7,15238,3,3,44,,,
f993485cdcad266475f7,15238,3,4,14,,,
f993485cdcad266475f7,15238,3,5,43,,,
f993485cdcad266475f7,15240,1,1,43,,,
f993485cdcad266475f7,15240,1,2,2,,,
f993485cdcad266475f7,15240,1,3,1,,,
f993485cdcad266475f7,15240,1,4,2,,,
f993485cdcad266475f7,15240,1,5,3,,,


Single-player Assets in Each Round
Participant,GameNum,PlayerNum,Round,AssetType,ReportClear,ReportPossible,ReportConfirm
f993485cdcad266475f7,12144,1,1,0,9;14;19,4,24
f993485cdcad266475f7,12144,1,1,3,12,,
f993485cdcad266475f7,12144,1,1,4,,,
bot,12144,2,1,1,12;13,10,11;14
bot,12144,2,1,2,10;11;14,12,13
bot,12144,2,1,5,10,,
bot,12144,2,1,6,21,,
f993485cdcad266475f7,12144,1,2,0,2;7;12;17;22,,
f993485cdcad266475f7,12144,1,2,3,,24,
f993485cdcad266475f7,12144,1,2,4,,,13
bot,12144,2,2,1,,,
bot,12144,2,2,2,17;18;19,15,16
bot,12144,2,2,5,,,6
bot,12144,2,2,6,17,,
f993485cdcad266475f7,12144,1,3,0,5;15;20,10,0
f993485cdcad266475f7,12144,1,3,3,,3,
f993485cdcad266475f7,12144,1,3,4,,,
bot,12144,2,3,1,20;21;23;24,22,
bot,12144,2,3,2,20;21;22;23,24,
bot,12144,2,3,5,5,,
bot,12144,2,3,6,,,16
f993485cdcad266475f7,12144,1,4,0,8;18;23,,3;13
f993485cdcad266475f7,12144,1,4,3,1,,
f993485cdcad266475f7,12144,1,4,4,,,
bot,12144,2,4,1,,,
bot,12144,2,4,2,1;4,0;2,3
bot,12144,2,4,5,,,5
bot,12144,2,4,6,,,16
f993485cdcad266475f7,12144,1,5,0,0;5;10;15;20,,
f993485cdcad266475f7,12144,1,5,3,,6,
f993485cdcad266475f7,12144,1,5,4,,,
bot,12144,2,5,1,10;11;14,12,13
bot,12144,2,5,2,5;7,8,6;9
bot,12144,2,5,5,0,,
bot,12144,2,5,6,11,,
f993485cdcad266475f7,12152,1,1,1,20;21;22;23;24,,
f993485cdcad266475f7,12152,1,1,2,0;4,2,1;3
f993485cdcad266475f7,12152,1,1,5,,,
f993485cdcad266475f7,12152,1,1,6,,,
bot,12152,2,1,0,3;8;23,18,13
bot,12152,2,1,3,,18,
bot,12152,2,1,4,16,,
f993485cdcad266475f7,12152,1,2,1,,,
f993485cdcad266475f7,12152,1,2,2,5;6;7;8;9,,
f993485cdcad266475f7,12152,1,2,5,,,1
f993485cdcad266475f7,12152,1,2,6,,23,
bot,12152,2,2,0,21,6;11;16,1
bot,12152,2,2,3,,13,
bot,12152,2,2,4,21,,
f993485cdcad266475f7,12152,1,3,1,15;18;19,16,17
f993485cdcad266475f7,12152,1,3,2,10;11;12,13;14,
f993485cdcad266475f7,12152,1,3,5,,,2
f993485cdcad266475f7,12152,1,3,6,18,,
